 

stn    time           tre200h0  rre150h0  rre024i0
BUF    2019010700         -9.8       0.0       0.0
BUF    2019010701         -7.9       0.0       0.0
BUF    2019010702         -9.4       0.0       0.0
BUF    2019010703        -10.5       0.0       0.0
BUF    2019010704         -9.9       0.0       0.0
BUF    2019010705        -10.0       0.0       0.0
BUF    2019010706        -10.6       0.0       0.0
BUF    2019010707        -11.3       0.0       0.0
BUF    2019010708        -11.4       0.0       0.0
BUF    2019010709         -9.5       0.0       0.0
BUF    2019010710         -6.6       0.0       0.0
BUF    2019010711         -4.6       0.0       0.0
BUF    2019010712         -4.3       0.0       0.0
BUF    2019010713         -4.0       0.0       0.0
BUF    2019010714         -4.5       0.0       0.0
BUF    2019010715         -7.1       0.0       0.0
BUF    2019010716         -9.8       0.0       0.0
BUF    2019010717        -12.1       0.0       0.0
BUF    2019010718        -14.1       0.0       0.0
BUF    2019010719        -15.2       0.0       0.0
BUF    2019010720        -15.8       0.0       0.0
BUF    2019010721        -16.1       0.0       0.0
BUF    2019010722        -16.0       0.0       0.0
BUF    2019010723        -16.0       0.0       0.0
BUF    2019010800        -16.1       0.0       0.0
BUF    2019010801        -15.0       0.0       0.0
BUF    2019010802        -11.0       0.0       0.0
BUF    2019010803         -9.3       0.0       0.0
BUF    2019010804         -8.4       0.0       0.0
BUF    2019010805         -7.2       0.0       0.0
BUF    2019010806         -6.5       0.0       0.0
BUF    2019010807         -6.0       0.2       0.2
BUF    2019010808         -4.7       0.1       0.3
BUF    2019010809         -1.8       0.0       0.3
BUF    2019010810         -0.2       0.0       0.3
BUF    2019010811         -0.6       0.0       0.3
BUF    2019010812         -1.2       0.0       0.3
BUF    2019010813         -1.7       0.0       0.3
BUF    2019010814         -2.1       0.0       0.3
BUF    2019010815         -2.7       0.0       0.3
BUF    2019010816         -3.6       0.0       0.3
BUF    2019010817         -4.3       0.0       0.3
BUF    2019010818         -4.9       0.0       0.3
BUF    2019010819         -6.2       0.0       0.3
BUF    2019010820         -6.4       0.0       0.3
BUF    2019010821         -6.6       0.0       0.3
BUF    2019010822         -6.7       0.0       0.3
BUF    2019010823         -6.9       0.1       0.4
BUF    2019010900         -7.2       0.0       0.4
BUF    2019010901         -7.6       0.9       1.3
BUF    2019010902         -7.9       0.3       1.6
BUF    2019010903         -8.1       1.2       2.8
BUF    2019010904         -8.5       0.7       3.5
BUF    2019010905         -8.8       2.0       5.5
BUF    2019010906         -9.0       0.4       5.9
BUF    2019010907         -9.1       0.5       6.2
BUF    2019010908         -9.1       0.8       6.9
BUF    2019010909         -9.0       1.4       8.3
BUF    2019010910         -8.6       0.2       8.5
BUF    2019010911         -8.8       0.2       8.7
BUF    2019010912         -8.8       0.3       9.0
BUF    2019010913         -8.8       0.1       9.1
BUF    2019010914         -9.3       0.1       9.2
BUF    2019010915         -9.6       0.1       9.3
BUF    2019010916        -10.0       0.0       9.3
BUF    2019010917        -10.5       0.0       9.3
BUF    2019010918        -10.9       0.1       9.4
BUF    2019010919        -11.1       0.0       9.4
BUF    2019010920        -11.5       0.0       9.4
BUF    2019010921        -12.0       0.0       9.4
BUF    2019010922        -12.0       0.1       9.5
BUF    2019010923        -12.5       0.0       9.4
BUF    2019011000        -12.1       0.0       9.4
BUF    2019011001        -12.5       0.0       8.5
BUF    2019011002        -13.0       0.0       8.2
BUF    2019011003        -13.9       0.0       7.0
BUF    2019011004        -14.0       0.0       6.3
BUF    2019011005        -14.1       0.0       4.3
BUF    2019011006        -15.5       0.0       3.9
BUF    2019011007        -16.7       0.0       3.4
BUF    2019011008        -16.5       0.0       2.6
BUF    2019011009        -14.1       0.0       1.2
BUF    2019011010        -10.9       0.0       1.0
BUF    2019011011         -9.9       0.0       0.8
BUF    2019011012         -9.9       0.0       0.5
BUF    2019011013        -10.1       0.0       0.4
BUF    2019011014         -9.8       0.0       0.3
BUF    2019011015         -9.8       0.0       0.2
BUF    2019011016        -11.2       0.0       0.2
BUF    2019011017        -13.6       0.0       0.2
BUF    2019011018        -14.2       0.0       0.1
BUF    2019011019        -14.3       0.0       0.1
BUF    2019011020        -15.6       0.0       0.1
BUF    2019011021        -17.3       0.0       0.1
BUF    2019011022        -17.9       0.0       0.0
BUF    2019011023        -17.9       0.0       0.0
BUF    2019011100        -17.3       0.0       0.0
BUF    2019011101        -17.1       0.0       0.0
BUF    2019011102        -18.4       0.0       0.0
BUF    2019011103        -19.7       0.0       0.0
BUF    2019011104        -21.1       0.0       0.0
BUF    2019011105        -22.2       0.0       0.0
BUF    2019011106        -23.1       0.0       0.0
BUF    2019011107        -23.6       0.0       0.0
BUF    2019011108        -23.8       0.0       0.0
BUF    2019011109        -23.0       0.0       0.0
BUF    2019011110        -19.3       0.0       0.0
BUF    2019011111        -15.4       0.0       0.0
BUF    2019011112        -10.9       0.0       0.0
BUF    2019011113         -9.8       0.0       0.0
BUF    2019011114        -10.1       0.0       0.0
BUF    2019011115        -10.5       0.0       0.0
BUF    2019011116        -11.1       0.0       0.0
BUF    2019011117        -12.5       0.0       0.0
BUF    2019011118        -13.7       0.0       0.0
BUF    2019011119        -13.6       0.0       0.0
BUF    2019011120        -13.2       0.1       0.1
BUF    2019011121        -12.5       0.0       0.1
BUF    2019011122        -12.0       0.0       0.1
BUF    2019011123        -11.4       0.0       0.1
BUF    2019011200        -10.1       0.0       0.1
BUF    2019011201         -9.1       0.2       0.3
BUF    2019011202         -8.8       0.0       0.3
BUF    2019011203         -8.8       0.1       0.4
BUF    2019011204        -10.1       0.0       0.4
BUF    2019011205        -12.4       0.0       0.4
BUF    2019011206        -13.8       0.0       0.4
BUF    2019011207        -13.8       0.0       0.4
BUF    2019011208        -12.8       0.0       0.4
BUF    2019011209        -12.5       0.0       0.4
BUF    2019011210        -10.9       0.0       0.4
BUF    2019011211         -9.3       0.0       0.4
BUF    2019011212         -7.0       0.0       0.4
BUF    2019011213         -2.6       0.0       0.4
BUF    2019011214         -2.8       0.0       0.4
BUF    2019011215         -4.7       0.0       0.4
BUF    2019011216         -8.5       0.0       0.4
BUF    2019011217        -11.7       0.0       0.4
BUF    2019011218        -13.2       0.0       0.4
BUF    2019011219        -12.6       0.0       0.4
BUF    2019011220        -11.5       0.0       0.3
BUF    2019011221         -7.4       0.0       0.3
BUF    2019011222         -5.5       0.0       0.3
BUF    2019011223         -4.6       0.0       0.3
BUF    2019011300         -5.0       0.3       0.6
BUF    2019011301         -5.0       0.5       0.9
BUF    2019011302         -5.0       0.9       1.8
BUF    2019011303         -5.0       1.0       2.7
BUF    2019011304         -5.1       0.7       3.4
BUF    2019011305         -5.2       0.7       4.1
BUF    2019011306         -5.4       0.3       4.4
BUF    2019011307         -5.5       0.1       4.5
BUF    2019011308         -5.5       0.1       4.6
BUF    2019011309         -5.0       0.1       4.7
BUF    2019011310         -4.6       0.3       5.0
BUF    2019011311         -4.2       0.8       5.8
BUF    2019011312         -3.8       0.7       6.5
BUF    2019011313         -3.7       0.9       7.4
BUF    2019011314         -3.7       2.0       9.4
BUF    2019011315         -3.7       1.4      10.8
BUF    2019011316         -3.5       1.6      12.4
BUF    2019011317         -3.3       1.0      13.4
BUF    2019011318         -2.7       1.6      15.0
BUF    2019011319         -2.5       2.9      17.9
BUF    2019011320         -2.4       2.7      20.6
BUF    2019011321         -2.5       2.9      23.5
BUF    2019011322         -2.5       1.3      24.8
BUF    2019011323         -2.1       1.4      26.2
