ID,Longitude,Latitude,Temperature,Time,elevation
46723,13.5254624,52.4308478,0,2021-02-20T23:00:08Z,35
46723,13.5254103,52.4307349,-7,2021-02-21T00:00:10Z,35
46723,13.5254103,52.4307349,-7,2021-02-21T00:00:10Z,35
46723,13.5255122,52.4307196,-15,2021-02-21T01:00:37Z,35
46723,13.5255122,52.4307196,-15,2021-02-21T01:00:37Z,35
46723,13.5253026,52.4308036,-22,2021-02-21T02:00:08Z,35
46723,13.5253026,52.4308036,-22,2021-02-21T02:00:08Z,35
46723,13.5252308,52.4303142,-27,2021-02-21T03:00:09Z,36
46723,13.5252308,52.4303142,-27,2021-02-21T03:00:09Z,36
46723,13.5255162,52.4307191,5,2021-02-21T04:00:36Z,35
46723,13.5255162,52.4307191,5,2021-02-21T04:00:36Z,35
46723,13.5253108,52.430887,49,2021-02-21T05:00:09Z,35
46723,13.5253108,52.430887,49,2021-02-21T05:00:09Z,35
46723,13.5253542,52.430754,50,2021-02-21T06:00:05Z,35
46723,13.5253542,52.430754,50,2021-02-21T06:00:05Z,35
46723,13.5255305,52.430701,50,2021-02-21T07:00:37Z,35
46723,13.5255305,52.430701,50,2021-02-21T07:00:37Z,35
46723,13.5255305,52.430701,50,2021-02-21T08:00:09Z,35
46723,13.5255305,52.430701,50,2021-02-21T08:00:09Z,35
46723,13.525486,52.4307722,50,2021-02-21T09:00:09Z,35
46723,13.525486,52.4307722,50,2021-02-21T09:00:09Z,35
46723,13.5255477,52.4307082,50,2021-02-21T10:00:36Z,35
46723,13.5255477,52.4307082,50,2021-02-21T10:00:36Z,35
46723,13.525523,52.430722,50,2021-02-21T11:00:09Z,35
46723,13.525523,52.430722,50,2021-02-21T11:00:09Z,35
46723,13.5254653,52.4306758,50,2021-02-21T12:00:11Z,35
46723,13.5254653,52.4306758,50,2021-02-21T12:00:11Z,35
46723,13.5255408,52.4307273,50,2021-02-21T13:00:37Z,35
46723,13.5255408,52.4307273,50,2021-02-21T13:00:37Z,35
46723,13.5255334,52.4306935,50,2021-02-21T14:00:09Z,35
46723,13.5255334,52.4306935,50,2021-02-21T14:00:09Z,35
46723,13.5254945,52.4307144,50,2021-02-21T15:00:08Z,35
46723,13.5254945,52.4307144,50,2021-02-21T15:00:08Z,35
46723,13.525523,52.430733,50,2021-02-21T16:00:36Z,35
46723,13.525523,52.430733,50,2021-02-21T16:00:36Z,35
46723,13.5255196,52.4307096,50,2021-02-21T17:00:09Z,35
46723,13.5255196,52.4307096,50,2021-02-21T17:00:09Z,35
46723,13.5254796,52.4307399,50,2021-02-21T18:00:10Z,35
46723,13.5254796,52.4307399,50,2021-02-21T18:00:10Z,35
46723,13.5255334,52.4307099,50,2021-02-21T19:00:37Z,35
46723,13.5255334,52.4307099,50,2021-02-21T19:00:37Z,35
46723,13.5255162,52.4307081,50,2021-02-21T20:00:09Z,35
46723,13.5255162,52.4307081,50,2021-02-21T20:00:09Z,35
46723,13.5255665,52.4306931,50,2021-02-21T21:00:09Z,35
46723,13.5255665,52.4306931,50,2021-02-21T21:00:09Z,35
46723,13.525523,52.430711,50,2021-02-21T22:00:38Z,35
46723,13.525523,52.430711,50,2021-02-21T22:00:38Z,35
46723,13.5255013,52.4307227,50,2021-02-21T23:00:09Z,35
46723,13.5255013,52.4307227,50,2021-02-21T23:00:09Z,35
46723,13.525419,52.4307013,50,2021-02-22T00:00:09Z,35
46723,13.525419,52.4307013,50,2021-02-22T00:00:09Z,35
46723,13.5255408,52.4307327,50,2021-02-22T01:00:37Z,35
46723,13.5255408,52.4307327,50,2021-02-22T01:00:37Z,35
46723,13.5255265,52.430718,50,2021-02-22T02:00:09Z,35
46723,13.5255265,52.430718,50,2021-02-22T02:00:09Z,35
46723,13.5254945,52.4307527,50,2021-02-22T03:00:10Z,35
46723,13.5254945,52.4307527,50,2021-02-22T03:00:10Z,35
46723,13.525491,52.4307239,50,2021-02-22T04:00:36Z,35
46723,13.525491,52.4307239,50,2021-02-22T04:00:36Z,35
46723,13.5254762,52.430744,50,2021-02-22T05:00:10Z,35
46723,13.5254762,52.430744,50,2021-02-22T05:00:10Z,35
46723,13.5254767,52.430742,50,2021-02-22T06:00:09Z,35
46723,13.5254767,52.430742,50,2021-02-22T06:00:09Z,35
46723,13.5257925,52.4307914,50,2021-02-22T07:00:37Z,35
46723,13.5257925,52.4307914,50,2021-02-22T07:00:37Z,35
46723,13.5263096,52.4303281,15,2021-02-22T08:00:09Z,34
46723,13.5263096,52.4303281,15,2021-02-22T08:00:09Z,34
46723,13.5264828,52.4306365,16,2021-02-22T09:00:10Z,35
46723,13.5264828,52.4306365,16,2021-02-22T09:00:10Z,35
46723,13.5258348,52.4308212,20,2021-02-22T10:00:36Z,35
46723,13.5258348,52.4308212,20,2021-02-22T10:00:36Z,35
46723,13.5258136,52.430831,22,2021-02-22T11:00:08Z,35
46723,13.5258136,52.430831,22,2021-02-22T11:00:08Z,35
46723,13.5257851,52.4308452,23,2021-02-22T12:00:36Z,35
46723,13.5257994,52.4308491,23,2021-02-22T12:00:36Z,35
46723,13.5257994,52.4308491,23,2021-02-22T12:00:36Z,35
46723,13.5258142,52.4308345,22,2021-02-22T13:00:09Z,35
46723,13.5257999,52.4308361,22,2021-02-22T13:00:09Z,35
46723,13.5258142,52.4308345,22,2021-02-22T13:00:09Z,35
46723,13.5258102,52.4307912,13,2021-02-22T14:00:36Z,35
46723,13.5258102,52.4307912,13,2021-02-22T14:00:36Z,35
46723,13.5258136,52.4307981,13,2021-02-22T14:00:36Z,35
46723,13.5257816,52.4308822,10,2021-02-22T15:00:10Z,35
46723,13.5257851,52.4308891,10,2021-02-22T15:00:10Z,35
46723,13.5257816,52.4308822,10,2021-02-22T15:00:10Z,35
46723,13.5257885,52.4308193,7,2021-02-22T16:00:38Z,35
46723,13.5257919,52.4308262,7,2021-02-22T16:00:38Z,35
46723,13.5257885,52.4308193,7,2021-02-22T16:00:38Z,35
46723,13.5258354,52.4308521,5,2021-02-22T17:00:08Z,35
46723,13.5258354,52.4308466,5,2021-02-22T17:00:08Z,35
46723,13.5258354,52.4308521,5,2021-02-22T17:00:08Z,35
46723,13.5258102,52.4308459,4,2021-02-22T18:00:36Z,35
46723,13.5258102,52.4308459,4,2021-02-22T18:00:36Z,35
46723,13.5258136,52.4308529,4,2021-02-22T18:00:36Z,35
46723,13.5258097,52.4308479,3,2021-02-22T19:00:38Z,35
46723,13.5257988,52.430851,3,2021-02-22T19:00:38Z,35
46723,13.5258097,52.4308479,3,2021-02-22T19:00:38Z,35
46723,13.5257462,52.4308552,1,2021-02-22T20:00:08Z,35
46723,13.5257462,52.4308552,1,2021-02-22T20:00:08Z,35
46723,13.5257496,52.4308566,1,2021-02-22T20:00:08Z,35
46723,13.5258354,52.4308576,1,2021-02-22T21:01:01Z,35
46723,13.5258319,52.4308507,1,2021-02-22T21:01:01Z,35
