Longitude,Latitude,Time,elevation
10.1186423327085,46.7621862930092,2020-01-01T00:00:42Z,1542
10.1186612018845,46.7621646413447,2020-01-01T01:00:13Z,1542
10.1187067497463,46.7621250917802,2020-01-01T02:00:42Z,1542
10.1205365997684,46.7625875909334,2020-01-01T03:00:16Z,1559
10.1209654355606,46.7625041656941,2020-01-01T04:00:36Z,1559
10.1212507443263,46.7620749445325,2020-01-01T05:00:42Z,1589
10.1210344754137,46.7622695123957,2020-01-01T06:00:12Z,1582
10.1225878251842,46.7621144064495,2020-01-01T07:00:42Z,1600
10.1234013127396,46.7617858265432,2020-01-01T08:00:14Z,1640
10.1232752383083,46.7617628747681,2020-01-01T09:00:41Z,1640
10.1231763400175,46.7617612397382,2020-01-01T10:00:13Z,1640
10.1244765727802,46.7617128652938,2020-01-01T11:00:41Z,1661
10.1248690394215,46.7615422896468,2020-01-01T12:01:12Z,1671
10.1259267282132,46.7595695183464,2020-01-01T13:00:42Z,1802
10.1259584720672,46.7594789479831,2020-01-01T14:01:02Z,1802
10.1253139164861,46.7595481726468,2020-01-01T15:00:18Z,1799
10.1243054386453,46.7592876320271,2020-01-01T16:00:42Z,1802
10.1235946333516,46.7591273796649,2020-01-01T17:00:42Z,1780
10.1237239156032,46.7589871736202,2020-01-01T18:00:12Z,1780
10.1235983149138,46.7590696276049,2020-01-01T19:00:42Z,1780
10.1236369608167,46.7591031376606,2020-01-01T20:00:11Z,1780
10.1235937147106,46.7591183369032,2020-01-01T21:00:40Z,1780
10.1237547361962,46.7589630003993,2020-01-01T22:00:42Z,1780
10.122989676226,46.7589435433968,2020-01-01T23:00:25Z,1758
10.1225470552075,46.758826465194,2020-01-02T00:00:42Z,1777
10.1226335336607,46.7590871364972,2020-01-02T01:00:37Z,1739
10.1225723401917,46.7591453505624,2020-01-02T02:00:42Z,1739
10.12235840932,46.7589875224143,2020-01-02T03:00:16Z,1739
10.1226114519448,46.7591795462394,2020-01-02T04:00:38Z,1739
10.122300432016,46.7592090884191,2020-01-02T05:00:14Z,1739
10.1222613192482,46.7592118575998,2020-01-02T06:00:42Z,1739
10.1243919264136,46.7599887453981,2020-01-02T07:00:42Z,1768
10.1242608060486,46.7599553309071,2020-01-02T08:00:13Z,1768
10.1242396394409,46.7599658891133,2020-01-02T09:00:42Z,1768
10.1242700046313,46.7600688952782,2020-01-02T10:00:42Z,1732
10.1242359583844,46.7600606059298,2020-01-02T11:00:12Z,1732
10.1242617229714,46.7600891062411,2020-01-02T12:01:30Z,1732
10.1245092472057,46.760074357304,2020-01-02T13:00:16Z,1732
10.1248280831584,46.7601979291997,2020-01-02T14:01:08Z,1747
10.123741811921,46.7608353110517,2020-01-02T15:00:42Z,1687
10.1227070290469,46.7614557656296,2020-01-02T16:00:16Z,1628
10.1209070029929,46.762489421528,2020-01-02T17:00:41Z,1559
10.1209557911562,46.7623036599304,2020-01-02T18:00:42Z,1582
10.1207473587973,46.7625127697444,2020-01-02T19:00:14Z,1559
10.1208163746611,46.7624398254083,2020-01-02T20:00:42Z,1559
10.1208375418577,46.7623445355501,2020-01-02T21:00:41Z,1582
10.1208982738576,46.7623349264715,2020-01-02T22:00:44Z,1582
10.1209258704927,46.762473930059,2020-01-02T23:00:42Z,1559
10.1209571516855,46.7625120560551,2020-01-03T00:00:13Z,1559
