Longitude,Latitude,Time,Temperature,elevation
10.2105243,46.6632739,2019-06-05T22:00:33Z,9.5,1798
10.2105243,46.6632739,2019-06-06T02:01:10Z,22,1798
10.2105243,46.6632739,2019-06-06T06:01:10Z,25,1798
10.1851771,46.6468785,2019-06-06T10:00:53Z,22.5,1956
10.1842134,46.6471347,2019-06-06T14:01:08Z,30,1913
10.201014,46.6630256,2019-06-06T18:00:33Z,11.5,1775
10.2106795,46.6676229,2019-06-06T20:00:26Z,10.5,1996
10.2105742,46.6634684,2019-06-06T22:00:33Z,9.5,1796
10.1854868,46.6412185,2019-06-07T02:01:08Z,17.5,1847
10.1933638,46.649704,2019-06-07T06:01:10Z,26,1989
10.1933638,46.649704,2019-06-07T10:01:10Z,25,1989
10.1933638,46.649704,2019-06-07T14:01:10Z,27,1989
10.1933638,46.649704,2019-06-07T18:01:10Z,11.5,1989
10.2127247,46.6630873,2019-06-07T20:01:03Z,10,1805
10.1926807,46.6531467,2019-06-07T22:00:33Z,11.5,1825
10.18531,46.6421626,2019-06-08T02:01:07Z,19.5,1868
10.1988004,46.6347254,2019-06-08T06:00:37Z,22.5,1937
10.2278573,46.643063,2019-06-08T10:01:06Z,27,2395
10.2278573,46.643063,2019-06-08T14:01:10Z,23.5,2395
10.1877242,46.6415211,2019-06-08T18:01:03Z,15,1920
10.1924619,46.6533136,2019-06-08T20:00:38Z,9.5,1808
10.2005312,46.6625246,2019-06-08T22:00:36Z,7.5,1775
10.2005312,46.6625246,2019-06-09T02:01:10Z,5.5,1775
10.1720408,46.6319308,2019-06-09T06:01:07Z,25.5,2069
10.2268488,46.6432729,2019-06-09T10:01:05Z,27.5,2388
10.2139992,46.6314007,2019-06-09T14:01:10Z,26,2177
10.2139992,46.6314007,2019-06-09T18:01:10Z,29,2177
10.2104351,46.663469,2019-06-09T20:00:57Z,10.5,1796
10.2095998,46.6634774,2019-06-09T22:00:35Z,11,1793
10.2095998,46.6634774,2019-06-10T02:01:10Z,20.5,1793
