Product Type: Litetrack Iridium-150
Product ID: 91037
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
14.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,3.0,0,0
14.05.2019 08:01:07,46.8234697,10.3838479,1289.45,70,18.0,3.8,4
14.05.2019 12:01:07,46.8211387,10.3837257,949.83,70,24.5,3.6,4
14.05.2019 16:01:07,46.8222474,10.3829486,1375.83,70,26.0,2.4,4
14.05.2019 20:01:04,46.8266449,10.3891377,1154.29,66,10.5,1.6,7
14.05.2019 22:00:04,46.8611765,10.4373525,1158.16,5,4.0,3.2,5
15.05.2019 00:01:07,46.8908257,10.4756910,-0.01,70,4.0,3.4,3
15.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,3.5,0,0
15.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,18.5,0,0
15.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,19.0,0,0
15.05.2019 16:01:02,46.9344661,10.4831192,-0.14,70,24.5,3.4,3
15.05.2019 20:01:03,46.9295236,10.4929945,1185.60,65,10.0,2.6,6
15.05.2019 22:00:54,46.9582025,10.5260073,1043.24,56,7.5,4.8,4
16.05.2019 00:01:10,0.0000000,0.0000000,0.00,70,7.5,0,0
16.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,4.5,0,0
16.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,22.0,0,0
16.05.2019 12:00:33,46.9954026,10.5908370,1242.71,35,23.5,2.4,5
16.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,18.0,0,0
16.05.2019 20:00:35,47.0117833,10.6095974,1078.50,37,9.0,2,6
16.05.2019 22:00:21,47.0362640,10.6355732,1077.72,23,9.5,4.6,4
17.05.2019 00:00:36,47.0371163,10.6352609,1007.23,38,10.0,1.2,7
17.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.0,0,0
17.05.2019 08:01:06,47.0736463,10.6813480,1103.87,70,24.5,3.2,4
17.05.2019 12:00:38,47.0971092,10.6786589,0.26,70,26.5,19.2,3
17.05.2019 16:01:09,47.0705702,10.6797121,39.87,70,30.0,2,4
17.05.2019 20:01:03,47.0742648,10.6814985,1001.67,63,14.5,4,5
17.05.2019 22:00:26,47.0753436,10.6719767,1366.72,26,21.5,5.8,4
18.05.2019 00:01:09,47.0734198,10.6829851,869.18,70,10.0,3,4
18.05.2019 04:01:09,47.0745728,10.6876649,1020.34,70,21.0,2.6,4
18.05.2019 08:01:10,47.0707296,10.6825312,0.18,70,28.5,4.2,3
18.05.2019 12:01:10,47.0340189,10.6769390,-0.32,70,27.0,41,3
18.05.2019 16:01:05,47.0741498,10.6872314,1051.79,65,34.5,1.2,7
18.05.2019 20:00:35,47.0743600,10.6833073,1028.70,35,16.5,2,8
18.05.2019 22:00:15,47.0738078,10.7141798,1054.39,15,10.5,3.2,4
19.05.2019 00:00:35,47.0778230,10.7123319,1210.00,35,11.5,2,6
19.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
19.05.2019 08:01:10,47.0776507,10.7149986,1212.80,70,24.0,4,4
19.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,29.0,0,0
19.05.2019 16:00:36,47.0777405,10.7148553,1181.66,36,30.5,1.6,6
19.05.2019 20:00:33,47.0777938,10.7122340,1208.93,34,14.5,1.6,7
19.05.2019 22:00:13,47.0781731,10.7115848,1242.08,14,13.0,4.6,4
20.05.2019 00:00:35,47.0785048,10.7118505,1251.48,35,12.5,1.8,6
20.05.2019 04:01:05,47.0785799,10.7052689,1096.23,70,26.5,1.8,4
20.05.2019 08:00:33,47.0784974,10.7052697,1204.44,34,28.5,2.2,5
20.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
20.05.2019 16:01:04,47.0787215,10.7015945,0.05,70,26.5,2.6,3
20.05.2019 20:00:35,47.0776136,10.6992250,1123.77,36,9.5,1.2,9
20.05.2019 22:00:20,47.0771349,10.6987441,1113.19,21,12.5,4,5
21.05.2019 00:00:35,47.0782141,10.6986460,1134.05,36,12.0,1.6,6
