Product Type: Litetrack Iridium-150
Product ID: 91038
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
03.06.2019 08:01:10,0.0000000,0.0000000,0.00,70,16.5,0,0
03.06.2019 12:01:03,46.6539618,10.1707825,1800.34,63,26.0,1.4,5
03.06.2019 16:00:43,46.6659976,10.1942022,-0.03,70,24.5,8.8,3
03.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,12.5,0,0
03.06.2019 22:00:33,46.6635381,10.2101325,1856.93,33,8.5,1.4,7
04.06.2019 00:00:48,46.6697177,10.2136421,2162.74,48,8.5,6.2,4
04.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,19.0,0,0
04.06.2019 08:01:10,0.0000000,0.0000000,0.00,70,17.0,0,0
04.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
04.06.2019 16:01:09,46.6418152,10.1856144,1920.26,70,23.0,3.4,4
04.06.2019 20:01:10,46.6483037,10.1786849,0.01,70,14.0,6.6,3
04.06.2019 22:01:02,46.6583320,10.1734077,1706.11,62,11.0,4.8,5
05.06.2019 00:00:36,46.6650022,10.2096429,1864.17,36,7.0,2.6,4
05.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.0,0,0
05.06.2019 08:01:08,46.6353178,10.2017265,0.13,70,25.0,3.8,3
05.06.2019 12:01:08,46.6419434,10.1963101,2155.75,70,26.0,2.4,4
05.06.2019 16:00:36,46.6452852,10.1943357,2169.33,36,25.5,1.4,7
05.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,12.5,0,0
05.06.2019 22:00:57,46.6632941,10.2098746,1848.16,58,10.5,1.8,5
06.06.2019 00:00:33,46.6632739,10.2105243,1854.40,34,9.5,1.6,5
06.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,22.0,0,0
06.06.2019 08:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
06.06.2019 12:00:53,46.6468785,10.1851771,1618.35,70,22.5,1.8,4
06.06.2019 16:01:08,46.6471347,10.1842134,1892.64,70,30.0,6.8,4
06.06.2019 20:00:33,46.6630256,10.2010140,1829.58,34,11.5,1.6,7
